# BUSCO version is: 5.2.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2020-09-10, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
317470at33208a	Complete	OKRP01000091.1	368952	381008	+	324.3	287
318483at33208a	Complete	OKRP01000175.1	121858	128908	+	392.0	306
318532at33208a	Fragmented	OKRP01014500.1	778	2023	-	162.1	94
319574at33208a	Complete	OKRP01004833.1	480	5697	-	283.6	214
320390at33208a	Complete	OKRP01001239.1	88638	107847	+	299.5	317
321332at33208a	Complete	OKRP01000058.1	96970	111954	+	319.0	408
323399at33208a	Complete	OKRP01001343.1	20696	83090	-	401.4	251
323473at33208a	Fragmented	OKRP01000753.1	21	8949	+	304.5	162
324249at33208a	Fragmented	OKRP01013702.1	26	1476	+	162.1	156
325183at33208a	Fragmented	OKRP01001150.1	104429	121913	-	293.0	185
327301at33208a	Fragmented	OKRP01001329.1	32711	42459	-	172.0	150
331112at33208a	Complete	OKRP01000159.1	48084	61235	+	321.9	319
331186at33208a	Complete	OKRP01002344.1	47552	51532	-	231.2	272
332870at33208a	Complete	OKRP01001176.1	62746	68178	+	234.2	223
333062at33208a	Complete	OKRP01000093.1	86401	95667	-	520.2	327
333800at33208a	Complete	OKRP01001139.1	3078	19805	-	276.2	396
334272at33208a	Complete	OKRP01000660.1	54488	64244	-	315.5	299
334331at33208a	Complete	OKRP01000005.1	708859	724239	+	591.5	457
334336at33208a	Missing
334342at33208a	Complete	OKRP01000417.1	48771	76903	+	317.4	356
334764at33208a	Duplicated	OKRP01000282.1	145487	149258	-	381.1	293
334764at33208a	Duplicated	OKRP01000282.1	145487	146581	-	361.3	259
334820at33208a	Fragmented	OKRP01000455.1	141787	159408	+	254.9	191
335107at33208a	Complete	OKRP01001276.1	3412	16850	-	304.2	252
336647at33208a	Complete	OKRP01000044.1	263041	287036	-	189.6	275
338191at33208a	Complete	OKRP01001213.1	1	15138	-	597.3	348
338482at33208a	Complete	OKRP01006946.1	3405	4439	+	314.6	279
339127at33208a	Complete	OKRP01001648.1	4483	21707	+	334.8	435
339319at33208a	Complete	OKRP01000005.1	435846	441954	-	250.4	242
340558at33208a	Complete	OKRP01000538.1	125164	134529	+	440.6	316
340577at33208a	Complete	OKRP01000105.1	271483	275330	-	598.0	482
344338at33208a	Complete	OKRP01001046.1	75732	88994	+	312.1	247
344346at33208a	Missing
344442at33208a	Complete	OKRP01001045.1	58888	64354	-	243.9	235
344581at33208a	Complete	OKRP01000187.1	229672	239246	+	343.3	243
344611at33208a	Fragmented	OKRP01003177.1	20560	21183	-	161.5	134
345099at33208a	Fragmented	OKRP01001253.1	72062	94272	+	385.7	369
345959at33208a	Complete	OKRP01000006.1	273722	287969	-	185.0	204
346541at33208a	Complete	OKRP01001743.1	3162	9662	-	564.0	431
347600at33208a	Complete	OKRP01000511.1	46722	47987	-	458.7	294
348449at33208a	Fragmented	OKRP01000377.1	252604	255542	-	78.0	77
348544at33208a	Complete	OKRP01001743.1	14108	22536	+	394.1	307
348761at33208a	Fragmented	OKRP01000294.1	86486	89467	+	174.5	144
349064at33208a	Fragmented	OKRP01000487.1	56363	65516	-	326.3	215
349627at33208a	Complete	OKRP01000209.1	273409	283288	+	192.4	250
351226at33208a	Missing
352600at33208a	Complete	OKRP01000424.1	161853	169673	+	474.2	275
352854at33208a	Complete	OKRP01000097.1	198100	213696	-	462.0	360
353286at33208a	Complete	OKRP01001023.1	27749	45376	-	347.8	348
353768at33208a	Missing
354829at33208a	Complete	OKRP01000333.1	182196	199422	-	525.7	279
354949at33208a	Complete	OKRP01000158.1	171659	180956	-	245.1	234
355210at33208a	Fragmented	OKRP01002286.1	13202	26456	-	227.1	234
355739at33208a	Complete	OKRP01000052.1	149837	156521	+	287.8	246
356175at33208a	Complete	OKRP01001471.1	43030	47523	+	200.0	278
356334at33208a	Complete	OKRP01001877.1	1578	25413	-	546.8	599
356503at33208a	Complete	OKRP01000138.1	286833	295248	-	373.5	261
357580at33208a	Complete	OKRP01000035.1	421559	430509	-	320.7	213
359075at33208a	Fragmented	OKRP01001701.1	55994	61406	+	149.3	131
359324at33208a	Complete	OKRP01000502.1	25468	27814	-	153.2	157
359369at33208a	Complete	OKRP01002932.1	15025	28420	-	273.4	213
359532at33208a	Missing
360379at33208a	Complete	OKRP01002276.1	18267	24202	+	260.6	231
360753at33208a	Complete	OKRP01000386.1	170613	176021	-	260.0	199
361100at33208a	Complete	OKRP01000057.1	430163	439817	+	431.7	269
361203at33208a	Complete	OKRP01000509.1	92112	99962	-	497.4	313
361216at33208a	Complete	OKRP01000137.1	320199	329570	-	219.5	222
363634at33208a	Complete	OKRP01001062.1	44107	48388	+	179.8	170
363840at33208a	Missing
363851at33208a	Complete	OKRP01000973.1	11349	15145	+	169.5	199
364383at33208a	Complete	OKRP01000439.1	160477	167185	-	445.9	334
364694at33208a	Fragmented	OKRP01000692.1	135257	141307	+	308.9	180
365323at33208a	Missing
365561at33208a	Complete	OKRP01002329.1	9691	14072	-	438.0	272
365691at33208a	Fragmented	OKRP01000593.1	141477	145336	-	151.0	145
366124at33208a	Missing
366814at33208a	Complete	OKRP01000360.1	184959	187146	+	587.7	378
366936at33208a	Complete	OKRP01000328.1	36696	58343	-	384.0	203
367493at33208a	Missing
367551at33208a	Complete	OKRP01000898.1	45453	55994	+	471.5	319
367596at33208a	Complete	OKRP01000269.1	60414	74013	-	500.0	435
367957at33208a	Complete	OKRP01000520.1	33843	41078	+	445.9	290
368565at33208a	Complete	OKRP01000282.1	153806	171490	+	287.7	215
368670at33208a	Complete	OKRP01000221.1	9052	10515	+	316.2	201
368875at33208a	Fragmented	OKRP01000282.1	178210	198285	-	108.3	117
371241at33208a	Complete	OKRP01000180.1	156761	171683	+	187.6	153
371297at33208a	Complete	OKRP01000018.1	264405	272819	+	432.5	270
371526at33208a	Fragmented	OKRP01000583.1	88574	93865	-	178.7	132
372257at33208a	Complete	OKRP01001757.1	1852	8014	+	212.8	197
372707at33208a	Complete	OKRP01000022.1	497583	504404	-	340.4	222
373040at33208a	Complete	OKRP01001539.1	21428	32544	-	353.8	248
376982at33208a	Complete	OKRP01000092.1	358002	370650	+	437.9	247
378033at33208a	Fragmented	OKRP01000186.1	235214	252348	+	125.8	182
378316at33208a	Complete	OKRP01000123.1	165117	172986	+	441.0	275
378768at33208a	Fragmented	OKRP01003854.1	15315	17127	-	288.7	125
378913at33208a	Fragmented	OKRP01000735.1	26036	34080	-	104.3	74
379076at33208a	Fragmented	OKRP01000831.1	961	10699	-	151.6	102
379636at33208a	Fragmented	OKRP01000243.1	9246	18075	+	118.8	95
379771at33208a	Fragmented	OKRP01000474.1	20035	23936	+	181.5	140
380583at33208a	Complete	OKRP01000060.1	17291	32367	-	378.6	234
381303at33208a	Complete	OKRP01000017.1	526459	528976	+	230.7	233
382000at33208a	Complete	OKRP01000388.1	148870	152210	-	155.2	289
382262at33208a	Complete	OKRP01000117.1	52027	62969	-	75.2	164
382750at33208a	Complete	OKRP01002199.1	1909	2814	+	299.1	251
383313at33208a	Missing
384187at33208a	Fragmented	OKRP01001168.1	39369	64571	+	482.7	278
386666at33208a	Fragmented	OKRP01001493.1	83769	84107	+	48.2	58
387079at33208a	Complete	OKRP01000038.1	163123	164265	-	265.2	223
387117at33208a	Complete	OKRP01002023.1	24168	32619	-	130.9	126
387878at33208a	Complete	OKRP01004232.1	1021	4557	-	198.3	295
389367at33208a	Complete	OKRP01002143.1	1079	9027	+	293.5	195
389527at33208a	Missing
389570at33208a	Complete	OKRP01000031.1	67075	69133	+	271.8	188
389591at33208a	Complete	OKRP01001097.1	79975	87027	-	291.6	217
390192at33208a	Complete	OKRP01000679.1	98313	101381	+	446.8	317
390402at33208a	Fragmented	OKRP01003951.1	7540	12134	+	211.0	165
391896at33208a	Complete	OKRP01000846.1	68529	76142	-	353.9	267
393219at33208a	Fragmented	OKRP01010630.1	854	2314	-	160.2	119
393291at33208a	Complete	OKRP01000466.1	75482	84174	+	314.1	239
393419at33208a	Complete	OKRP01000984.1	45656	59758	-	391.5	361
393895at33208a	Complete	OKRP01000311.1	186828	198213	+	593.6	426
395147at33208a	Complete	OKRP01004429.1	0	16110	-	342.3	275
395183at33208a	Complete	OKRP01000654.1	29804	38541	-	269.7	173
395556at33208a	Missing
395919at33208a	Missing
395948at33208a	Complete	OKRP01000006.1	450595	455912	-	283.9	293
396237at33208a	Complete	OKRP01000307.1	95775	103253	+	289.7	283
397019at33208a	Complete	OKRP01000056.1	75771	86509	+	409.4	232
397659at33208a	Complete	OKRP01002876.1	9879	27507	+	325.0	329
398013at33208a	Missing
398202at33208a	Complete	OKRP01000579.1	70387	76765	+	263.6	295
398607at33208a	Complete	OKRP01003486.1	8837	16070	-	201.1	155
399092at33208a	Fragmented	OKRP01000466.1	22783	25186	+	158.1	101
399439at33208a	Missing
400042at33208a	Complete	OKRP01002683.1	18590	33093	-	167.7	211
401196at33208a	Complete	OKRP01000080.1	88003	92300	+	147.3	165
401220at33208a	Complete	OKRP01000545.1	99963	109071	+	466.2	337
401679at33208a	Missing
401779at33208a	Complete	OKRP01000474.1	695	9619	-	400.6	256
403171at33208a	Complete	OKRP01000376.1	124764	132666	+	233.3	252
403817at33208a	Fragmented	OKRP01000427.1	54501	56798	-	24.5	57
404988at33208a	Complete	OKRP01000725.1	97770	98813	-	215.4	241
405257at33208a	Complete	OKRP01000562.1	6389	16526	+	421.4	361
406927at33208a	Complete	OKRP01000002.1	933458	937826	+	125.0	261
407472at33208a	Complete	OKRP01000309.1	172853	174100	-	461.8	324
409006at33208a	Complete	OKRP01000045.1	28495	36861	+	422.7	331
409186at33208a	Complete	OKRP01000027.1	93970	108020	-	418.4	432
411515at33208a	Complete	OKRP01001121.1	48641	52610	+	319.9	236
411664at33208a	Complete	OKRP01000359.1	117089	127879	+	201.8	190
411755at33208a	Missing
412370at33208a	Complete	OKRP01001028.1	37131	40957	-	124.9	155
412542at33208a	Fragmented	OKRP01000760.1	38493	41566	+	191.0	110
412930at33208a	Complete	OKRP01000922.1	66639	76345	+	289.7	270
413334at33208a	Fragmented	OKRP01001550.1	682	4846	+	168.6	127
414001at33208a	Complete	OKRP01003583.1	1965	9660	-	367.1	251
414571at33208a	Complete	OKRP01001501.1	18369	24939	+	387.4	247
414579at33208a	Missing
414603at33208a	Complete	OKRP01001072.1	97413	112977	-	353.6	440
415618at33208a	Missing
416175at33208a	Complete	OKRP01000419.1	21336	24081	+	338.4	218
418979at33208a	Complete	OKRP01000252.1	277923	282508	-	203.8	144
419502at33208a	Complete	OKRP01000016.1	501067	514732	+	302.1	213
419914at33208a	Complete	OKRP01000068.1	216526	231047	-	376.6	327
421396at33208a	Complete	OKRP01000308.1	101131	109035	-	376.2	238
421685at33208a	Complete	OKRP01000012.1	122831	125988	-	186.2	202
421732at33208a	Complete	OKRP01000530.1	74891	89406	-	150.4	291
422158at33208a	Complete	OKRP01001636.1	76051	77016	-	427.8	280
422751at33208a	Complete	OKRP01003699.1	19537	26882	+	258.4	197
423799at33208a	Fragmented	OKRP01002152.1	28084	35881	-	182.1	172
423848at33208a	Complete	OKRP01000707.1	75660	76592	-	235.9	233
424392at33208a	Complete	OKRP01000042.1	342389	350672	+	327.7	231
424569at33208a	Complete	OKRP01000406.1	55807	62401	-	245.3	158
424646at33208a	Fragmented	OKRP01000166.1	153042	161655	-	115.9	144
427349at33208a	Fragmented	OKRP01001067.1	55085	55501	+	92.3	76
427789at33208a	Complete	OKRP01000448.1	159147	169101	+	395.8	305
428202at33208a	Fragmented	OKRP01001750.1	58162	59152	+	129.6	77
428754at33208a	Missing
429011at33208a	Complete	OKRP01000742.1	35280	42502	-	102.8	128
429274at33208a	Missing
429751at33208a	Complete	OKRP01000064.1	336450	343014	+	296.6	394
430701at33208a	Complete	OKRP01000001.1	881988	891590	-	184.4	153
432050at33208a	Complete	OKRP01003277.1	441	3813	+	278.6	168
432155at33208a	Complete	OKRP01014632.1	188	1628	+	207.3	159
432287at33208a	Complete	OKRP01003564.1	18305	25139	+	123.8	183
432522at33208a	Complete	OKRP01000955.1	13137	16922	+	136.6	121
433216at33208a	Missing
433606at33208a	Fragmented	OKRP01000586.1	78482	79009	-	160.0	163
434068at33208a	Complete	OKRP01001071.1	48924	56808	-	474.7	366
434863at33208a	Complete	OKRP01000527.1	22370	66475	+	319.2	204
435253at33208a	Missing
435678at33208a	Fragmented	OKRP01001935.1	8017	13010	-	213.1	173
435921at33208a	Missing
435939at33208a	Complete	OKRP01001672.1	36261	44985	+	183.5	163
436007at33208a	Complete	OKRP01001311.1	29297	43332	-	540.9	399
436098at33208a	Complete	OKRP01001306.1	77643	81859	+	238.6	200
436539at33208a	Missing
437653at33208a	Complete	OKRP01000277.1	135841	137437	-	163.8	136
438133at33208a	Fragmented	OKRP01010693.1	1053	2461	-	327.5	181
438433at33208a	Complete	OKRP01000360.1	166818	173886	+	364.4	199
438453at33208a	Fragmented	OKRP01001039.1	90834	98481	+	193.0	126
439736at33208a	Complete	OKRP01003713.1	4508	18266	-	373.9	264
440195at33208a	Complete	OKRP01000490.1	61262	69414	+	274.9	220
440493at33208a	Complete	OKRP01000475.1	84953	93110	-	272.6	249
441575at33208a	Complete	OKRP01000197.1	133382	154152	-	509.0	459
442169at33208a	Complete	OKRP01000231.1	65291	78951	-	270.7	282
442203at33208a	Complete	OKRP01000305.1	53808	55337	-	480.4	347
442823at33208a	Complete	OKRP01000728.1	56093	65476	-	218.8	225
443305at33208a	Complete	OKRP01000431.1	71300	130602	+	331.1	371
443518at33208a	Complete	OKRP01000672.1	143375	153504	+	358.4	234
443659at33208a	Missing
443928at33208a	Fragmented	OKRP01001115.1	11922	16781	-	274.2	195
