# BUSCO version is: 5.2.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2020-09-10, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length
5951at33208a	Missing
323473at33208a	Duplicated	c254888_g1_i11:600-1589	515.1	285
323473at33208a	Duplicated	c254888_g1_i7:157-1146	515.1	285
323473at33208a	Duplicated	c254888_g1_i1:144-1001	455.2	250
324249at33208a	Fragmented	c230807_g2_i4:189-1187	190.7	193
325183at33208a	Complete	c243438_g1_i6:2-1168	436.6	312
327301at33208a	Fragmented	c227415_g4_i3:1449-2087	223.9	170
331112at33208a	Missing
331186at33208a	Complete	c244555_g1_i2:92-946	244.1	220
332870at33208a	Complete	c251661_g1_i11:62-808	93.3	162
333062at33208a	Fragmented	c265197_g1_i1:5-817	309.7	208
333800at33208a	Fragmented	c258215_g2_i7:862-1305	179.2	118
334272at33208a	Duplicated	c228191_g2_i1:2-1280	264.9	262
334272at33208a	Duplicated	c228191_g2_i2:2-1099	264.9	262
334272at33208a	Duplicated	c228191_g2_i4:2-1132	264.7	238
334331at33208a	Duplicated	c266922_g5_i3:447-1859	521.9	343
334331at33208a	Duplicated	c266922_g5_i6:827-2239	521.9	343
334336at33208a	Fragmented	c249123_g1_i7:1-447	165.2	126
334342at33208a	Fragmented	c245383_g2_i4:519-1145	227.6	170
334764at33208a	Complete	c253454_g2_i4:169-1128	300.6	225
334820at33208a	Missing
335107at33208a	Duplicated	c236620_g4_i4:1-633	201.7	171
335107at33208a	Duplicated	c236620_g4_i6:1-633	201.7	171
335107at33208a	Duplicated	c236620_g4_i3:159-773	200.6	161
335107at33208a	Duplicated	c236620_g4_i5:1-582	185.9	158
336647at33208a	Complete	c257281_g2_i4:366-1889	241.8	383
338191at33208a	Duplicated	c266484_g4_i6:409-2313	806.6	492
338191at33208a	Duplicated	c266484_g4_i4:24-1919	805.2	503
338482at33208a	Fragmented	c247136_g1_i3:640-1431	248.5	208
339127at33208a	Fragmented	c240643_g1_i2:2-421	113.8	94
339319at33208a	Duplicated	c247722_g3_i3:26-1222	246.7	217
339319at33208a	Duplicated	c247722_g3_i2:26-865	245.2	217
340558at33208a	Complete	c243708_g1_i2:396-1664	516.0	337
340577at33208a	Duplicated	c261579_g4_i1:1-1248	448.5	339
340577at33208a	Duplicated	c261579_g4_i2:1-1110	424.2	311
344338at33208a	Missing
344346at33208a	Missing
344442at33208a	Duplicated	c263221_g1_i5:1037-2194	242.4	248
344442at33208a	Duplicated	c263221_g1_i11:1037-2158	226.4	238
344442at33208a	Duplicated	c263221_g1_i10:1037-2319	225.4	237
344442at33208a	Duplicated	c263221_g1_i2:1037-1984	208.8	199
344581at33208a	Duplicated	c242937_g2_i3:311-1231	373.1	243
344581at33208a	Duplicated	c242937_g2_i6:186-1106	373.1	243
344581at33208a	Duplicated	c242937_g2_i4:356-1201	341.2	226
344581at33208a	Duplicated	c242937_g2_i2:311-1066	340.6	214
344611at33208a	Complete	c242852_g2_i1:325-1404	283.9	265
345099at33208a	Complete	c261712_g2_i7:88-1740	541.3	439
345959at33208a	Complete	c235318_g2_i2:227-1192	157.2	192
346541at33208a	Complete	c244791_g1_i2:69-1757	570.3	431
347600at33208a	Duplicated	c255205_g1_i4:355-1920	454.8	289
347600at33208a	Duplicated	c255205_g1_i1:627-2192	454.8	289
347600at33208a	Duplicated	c255205_g1_i2:11-850	435.9	247
348449at33208a	Duplicated	c261425_g1_i2:733-1866	238.9	305
348449at33208a	Duplicated	c261425_g1_i4:715-1848	238.9	305
348544at33208a	Duplicated	c262883_g1_i4:169-1374	451.1	324
348544at33208a	Duplicated	c262883_g1_i6:169-1374	451.1	324
348544at33208a	Duplicated	c262883_g1_i1:429-1517	401.1	286
348761at33208a	Duplicated	c261310_g1_i11:134-1090	335.3	234
348761at33208a	Duplicated	c261310_g1_i10:134-1400	324.1	227
348761at33208a	Duplicated	c261310_g1_i8:134-979	324.1	227
348761at33208a	Duplicated	c261310_g1_i12:108-1145	295.9	209
348761at33208a	Duplicated	c261310_g1_i15:108-923	295.9	209
349064at33208a	Complete	c233220_g4_i4:110-1063	458.9	280
349627at33208a	Duplicated	c262894_g1_i11:419-1246	189.8	205
349627at33208a	Duplicated	c262894_g1_i9:202-1029	189.8	205
351226at33208a	Duplicated	c231242_g4_i3:5-1726	194.5	226
351226at33208a	Duplicated	c231242_g4_i1:5-1593	193.2	225
351226at33208a	Duplicated	c231242_g4_i2:5-1944	191.8	226
352600at33208a	Missing
352854at33208a	Duplicated	c262486_g1_i17:519-2615	478.6	356
352854at33208a	Duplicated	c262486_g1_i3:519-1922	478.6	356
353286at33208a	Duplicated	c259795_g1_i17:2-937	325.9	237
353286at33208a	Duplicated	c259795_g1_i15:2-1504	325.6	236
353768at33208a	Missing
354829at33208a	Duplicated	c222389_g2_i3:92-1069	374.9	279
354829at33208a	Duplicated	c222389_g2_i6:237-1214	374.9	279
354829at33208a	Duplicated	c222389_g2_i1:3-809	359.7	239
354949at33208a	Duplicated	c232241_g1_i15:569-1546	342.4	269
354949at33208a	Duplicated	c232241_g1_i8:569-1468	337.5	261
354949at33208a	Duplicated	c232241_g1_i20:569-1357	299.1	229
355210at33208a	Fragmented	c258634_g1_i1:29-607	239.6	161
355739at33208a	Fragmented	c260061_g2_i1:2-547	140.6	143
356175at33208a	Complete	c236918_g2_i1:27-1241	241.1	277
356334at33208a	Fragmented	c251450_g4_i2:711-1907	433.6	320
356503at33208a	Fragmented	c246855_g1_i2:16-522	172.6	124
357580at33208a	Missing
359075at33208a	Complete	c260773_g4_i1:2-1123	288.9	241
359324at33208a	Duplicated	c244081_g2_i1:71-925	256.3	210
359324at33208a	Duplicated	c244081_g2_i3:198-1313	253.8	210
359369at33208a	Duplicated	c241601_g1_i2:498-1523	369.8	260
359369at33208a	Duplicated	c241601_g1_i7:498-1397	362.5	245
359369at33208a	Duplicated	c241601_g1_i1:498-1475	362.1	245
359532at33208a	Missing
360379at33208a	Duplicated	c241681_g2_i7:154-1374	300.4	256
360379at33208a	Duplicated	c241681_g2_i1:154-1549	276.4	251
360753at33208a	Fragmented	c246961_g3_i3:293-835	245.4	148
361100at33208a	Missing
361203at33208a	Duplicated	c265650_g2_i5:1450-2790	591.8	387
361203at33208a	Duplicated	c265650_g2_i6:1461-2801	591.8	387
361203at33208a	Duplicated	c265650_g2_i4:142-1323	539.3	342
361216at33208a	Complete	c255520_g1_i3:436-1377	217.9	213
363634at33208a	Complete	c252439_g1_i2:296-1240	206.7	201
363840at33208a	Duplicated	c243777_g3_i10:12-2367	308.0	325
363840at33208a	Duplicated	c243777_g3_i7:12-2178	308.0	325
363840at33208a	Duplicated	c243777_g3_i12:520-2577	307.8	304
